Name,URL,Cuisines,Area,Timing,Full_Address,PhoneNumber,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,AverageCost,CuisineCount,IsOnlineOrder,Cleaned_Timing
Sri Udupi Park,https://www.zomato.com/bangalore/sri-udupi-park-indiranagar,"South Indian, North Indian, Chinese, Street Food, Biryani, Ice Cream, Beverages, Shake","Indiranagar, Bangalore",7am – 11pm (Today),"273, Monalisa, 6th Main, 100 Feet Road, Indiranagar, Defence Colony, Indiranagar, Bangalore",9,1,1,1,1,4.0,462,4.1,16000,450,8,0,
Meghana Foods,https://www.zomato.com/bangalore/meghana-foods-indiranagar,"Biryani, Andhra, North Indian, Seafood","Indiranagar, Bangalore",Opens at 6:30pm,"544, First Floor, CMH Road, Near Indiranagar Metro Station, Indiranagar, Bangalore",9,1,1,1,0,4.3,1654,4.3,28600,700,4,1,
Donne Biriyani House,https://www.zomato.com/bangalore/donne-biriyani-house-indiranagar-bangalore,Biryani,"Indiranagar, Bangalore",11am – 11pm (Today),"8/ 9, 17th F Cross, 2nd Stage, Indiranagar, Bangalore",9,1,1,1,0,3.9,411,3.5,33200,300,1,0,
Domino's Pizza,https://www.zomato.com/bangalore/dominos-pizza-indiranagar,"Pizza, Fast Food, Desserts","Indiranagar, Bangalore",10:57am – 12midnight (Today),"308, 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",9,1,1,1,0,2.4,422,4.4,8205,400,3,0,
KFC,https://www.zomato.com/bangalore/kfc-indiranagar,"Burger, Fast Food, Biryani, Desserts, Beverages","Indiranagar, Bangalore",11am – 11pm (Today),"38/1A, CMH Road, Indiranagar, Bangalore",9,1,1,1,0,2.8,673,4.0,9148,400,5,0,
The Congee Concept,https://www.zomato.com/bangalore/the-congee-concept-ulsoor-bangalore,South Indian,"Ulsoor, Bangalore",11am – 11pm (Today),"26, Vemee Sadhana, 1st Main, Ulsoor, Bangalore",9,1,0,0,0,,0,4.5,239,100,1,1,
Burger King,https://www.zomato.com/bangalore/burger-king-indiranagar,"Burger, Fast Food, Beverages, Desserts","Indiranagar, Bangalore",9am – 2am (Today),"545, Next to CMH Metro Station, CMH Road, Indiranagar, Bangalore",9,1,1,1,0,4.1,1499,4.1,22400,400,4,0,
McDonald's,https://www.zomato.com/bangalore/mcdonalds-indiranagar,"Burger, Beverages, Fast Food, Desserts","Indiranagar, Bangalore",9:30am – 1:30am (Today),"539, Ground Floor, Ashwini Complex, Opposite Vijaya Bank, CMH Road, Indiranagar, Bangalore",9,1,1,1,0,3.8,500,4.1,7508,400,4,0,
Mani's Dum Biryani,https://www.zomato.com/manisindiranagar,"Biryani, Kebab","Jeevan Bhima Nagar, Bangalore",11am – 11:45pm (Today),"474, Ground Floor, 10th Main, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",9,1,1,1,0,4.2,708,4.1,12700,800,2,0,
Madras Meal Company,https://www.zomato.com/bangalore/madras-meal-company-thippasandra-bangalore,South Indian,"Thippasandra, Bangalore",11am – 11pm (Today),"Jeevan Bhima Nagar Main Road, Ward 74, Shetty Palaza, Puttappa Layout, Thippasandra, Bangalore",9,1,0,0,0,,0,4.0,2958,150,1,1,
ZAZA 22 Spice Biryani,https://www.zomato.com/bangalore/zaza-22-spice-biryani-indiranagar-bangalore,"Biryani, Mughlai, North Indian","Indiranagar, Bangalore",11am – 11pm (Today),"01 & 02, Lower Ground, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",9,1,0,0,0,,0,3.8,447,200,3,0,
New Alameen Restaurant,https://www.zomato.com/bangalore/new-alameen-restaurant-ulsoor-bangalore,"Kerala, North Indian, Chinese","Ulsoor, Bangalore",9am – 1am (Today),"22, Bazar Street, Ulsoor, Bangalore",9,1,1,1,0,3.7,226,3.7,9101,300,3,0,
Ovenstory Pizza,https://www.zomato.com/bangalore/ovenstory-pizza-indiranagar,"Pizza, Desserts","Indiranagar, Bangalore",11am – 11pm (Today),"191, First Floor, Chinmaya Mission Hospital Road, Hoysala Nagar, Below Metro Station, Indiranagar, Bangalore",9,1,0,0,0,,0,4.3,3902,250,2,0,
Biryani Trip,https://www.zomato.com/bangalore/biryani-trip-indiranagar-bangalore,"Hyderabadi, Biryani","Indiranagar, Bangalore",11am – 11pm (Today),"21, 1st Floor, 2nd Stage, CMH Road, Indiranagar, Bangalore",9,1,0,0,0,,0,4.0,70,250,2,0,
FreshMenu,https://www.zomato.com/FreshMenuIndiranagar,"Continental, North Indian, Biryani","Indiranagar, Bangalore",11am – 11pm (Today),"421/K, Shree Krishna Temple Road, Above SMK Mart, 1st Stage, Indiranagar, Bangalore",9,1,0,0,0,,0,3.7,29100,200,3,1,
BOX8 - Desi Meals,https://www.zomato.com/bangalore/box8-desi-meals-indiranagar-bangalore,"North Indian, Wraps, Fast Food, Biryani, Desserts, Beverages","Indiranagar, Bangalore",11am – 1am (Today),"Lower Ground Floor, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",9,1,1,0,0,,0,4.2,16000,200,6,0,
Nagarjuna,https://www.zomato.com/bangalore/nagarjuna-indiranagar,"Andhra, Biryani, North Indian","Indiranagar, Bangalore","11:30am – 3:45pm, 6pm – 10:45pm (Today)","195, Binnamangala, 2nd Stage, Double Road, Indiranagar, Bangalore",9,1,1,1,0,4.3,2323,4.1,455,800,3,1,
Natural Ice Cream,https://www.zomato.com/bangalore/natural-ice-cream-indiranagar,"Ice Cream, Beverages","Indiranagar, Bangalore",11am – 11pm (Today),"2984, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",9,1,1,1,1,4.8,1145,4.6,1345,300,2,1,
Bucket Biryani,https://www.zomato.com/bangalore/bucket-biryani-brigade-road-bangalore,"Biryani, Kebab","Brigade Road, Bangalore",11am – 10:54pm (Today),"44, Ground Floor, Castle Street, Ashok Nagar, Brigade Road, Bangalore",9,1,1,1,0,3.1,6,4.2,492,1000,2,1,
Rotti Walla,https://www.zomato.com/bangalore/rotti-walla-indiranagar-bangalore,"North Indian, South Indian, Chinese, Mughlai, Biryani, Fast Food, Beverages, Desserts","Indiranagar, Bangalore",11am – 11pm (Today),"60, 1st Floor, GNR Enclave, Indiranagar Double Rroad, Indiranagar, Bangalore",9,1,0,0,0,,0,3.9,8835,100,8,0,
Green Pepper,https://www.zomato.com/bangalore/green-pepper-jeevan-bhima-nagar,"Kerala, Biryani, North Indian, South Indian, Seafood, Chinese","Jeevan Bhima Nagar, Bangalore",11am – 11pm (Today),"1650, 10th Main, 80 Feet Road, Jeevan Bhima Nagar Main Road, Near BSNL Office, Jeevan Bhima Nagar, Bangalore",9,1,1,1,0,4.0,335,4.0,10300,600,6,1,
Punjabi Dhaba,https://www.zomato.com/bangalore/punjabi-dhaba-indiranagar-bangalore,"North Indian, Mughlai, Chinese","Indiranagar, Bangalore",24 Hours (Today),"92, 1st Floor, Doopanahalli Main Road, HAL 2nd stage, Indiranagar, Bangalore",9,1,1,1,0,3.8,6,3.4,1216,500,3,0,
Burma Burma,https://www.zomato.com/bangalore/burma-burma-indiranagar-bangalore,"Salad, Burmese, Asian, Tea, Beverages","Indiranagar, Bangalore",Opens at 6:30pm,"607, Ground Floor, 12th Main, Hal 2nd Stage, Indiranagar, Bangalore",9,1,1,1,0,4.9,2899,4.4,1123,1500,5,1,
Pizza Hut,https://www.zomato.com/bangalore/pizza-hut-indiranagar,"Pizza, Fast Food, Desserts, Beverages","Indiranagar, Bangalore",9am – 4am (Today),"1/1 A, CMH Road, Indiranagar, Bangalore",9,1,1,1,0,3.8,857,3.8,5213,400,4,1,
Leon Grill,https://www.zomato.com/bangalore/leon-grill-indiranagar,"Burger, Fast Food, Wraps, Street Food, Desserts, Beverages","Indiranagar, Bangalore",7am – 11pm (Today),"298, 100 Feet Road, Indiranagar, Bangalore",9,1,1,1,0,4.2,563,4.2,21200,400,6,1,
Onesta,https://www.zomato.com/bangalore/onesta-indiranagar-bangalore,"Pizza, Pasta, Fast Food, Desserts, Beverages, Sandwich, North Indian","Indiranagar, Bangalore","12midnight – 3am, 10am – 12midnight (Today)","501, Binnamangala Extension, 1st stage, C.M.H Road, Indiranagar, Bangalore",9,1,1,1,0,4.4,5683,3.8,1814,500,7,1,
